,,locationx,locationy,18,,,,
1,18,836.4291667,539.8933333,10.85806496,6,0,0,0
2,22,1273.14,156.406,22.57132994,3,2,0,0
3,28,1236.0375,1537.84375,19.40395255,8,0,0,0
4,38,455.8,1979.6,14.75718795,5,0,0,0
5,45,1115.545652,1164.83913,51.26292146,16,7,0,0
6,53,1286.59,346.865,33.63435195,7,2,6,0
7,65,61.27575,1272.133333,29.00118569,6,0,0,0
8,69,521.0741667,306.8770833,26.94290996,12,0,0,0
9,78,650.745,1965.79,22.07346346,3,2,0,0
10,103,819.1324074,388.1101852,12.82351979,27,0,0,0
11,115,1722.294444,970.2444444,25.91261376,7,2,0,0
12,136,86.0619,521.818,19.90692983,5,0,0,0
13,148,1487.535714,1503.828571,24.43280328,7,0,0,0
14,159,1600.05,1792.466667,21.26989984,6,0,0,0
15,165,1299.25,1690,10.06306426,6,0,0,0
16,174,1408.859091,1340.527273,40.43115905,11,0,0,0
17,181,1112.157143,154.8778571,36.4097275,5,0,2,0
18,184,361.7690909,897.8227273,43.2919984,11,0,0,0
19,199,774.3425,1565.55,38.42863593,0,6,2,0
20,248,1086.522727,392.7218182,7.972182247,0,11,0,0
21,265,1462.014286,1762.407143,16.90213964,0,0,7,0
22,282,677.3416667,1821.716667,32.1360165,0,0,6,0
23,293,365.7379167,1572.25,32.49300447,0,0,12,0
24,311,1217.059091,739.3245455,34.50457641,0,0,9,2
