,,locationx,locationy,11,,,,
1,11,1024.76,1289.27,5.163747105,5,0,0,0
2,15,1287.933333,1889.266667,24.48969839,5,0,1,0
3,43,1006.681667,495.9805556,21.28617917,9,0,0,0
4,55,422.6869565,1686.415217,47.45078931,21,1,1,0
5,70,286.3381818,1513.127273,14.08556127,11,0,0,0
6,80,380.0025,329.4516667,9.830721639,6,0,0,0
7,83,558.1275,87.50933333,25.52602848,6,0,0,0
8,97,1287.214286,43.28721429,8.747108905,7,0,0,0
9,113,136.034375,1102.01875,28.51388214,8,0,0,0
10,120,1928.991667,1063.316667,10.55827815,6,0,0,0
11,121,1745.988462,349.0573077,28.71186195,13,0,0,0
12,139,1967.875,765.5958333,24.19467645,5,1,0,0
13,148,1486.814286,290.8164286,19.66439478,7,0,0,0
14,169,1133.515517,386.5727586,35.4140733,29,0,0,0
15,186,1898.09,362.433,20.35062997,5,0,0,0
16,189,1296.2,246.352,27.5194315,0,3,2,0
17,194,91.194,771.945,17.46768275,6,1,0,0
18,198,1395.59,1532.47,19.67194545,0,5,0,0
19,212,1912.751429,1341.06,39.3066484,6,29,0,0
20,231,1412.183333,417.365,22.47340826,4,2,0,0
21,239,1421.8,1390.835714,26.42976063,3,0,4,0
22,262,942.4806667,92.0693,44.66872021,2,0,13,0
23,268,1774.95,1933.1125,28.43120492,3,0,5,0
24,278,526.8016667,452.1875,19.01951014,0,0,5,1
