,,locationx,locationy,565,
1,565,232.0309016,1523.991803,19.51984286,122
2,620,112.0392232,1566.43125,14.21584384,112
3,695,470.7695,377.77525,11.77033871,40
4,1052,881.5586982,571.8771598,20.75950083,169
5,1273,1728.627928,1890.561261,13.75119055,111
6,1535,1068.699099,1565.636937,14.21574756,111
7,1824,840.875092,1101.742331,9.551809966,163
8,1912,752.221236,586.0258427,22.10436821,89
9,1938,1412.960317,1871.506349,12.78284261,63
10,2039,545.8252083,905.6814583,13.39526788,48
11,2184,462.1694815,975.8605185,20.38629604,135
12,2407,1848.907426,1812.091089,17.43679678,202
13,2476,1112.923529,584.3435294,10.84122102,34
14,2790,907.2302222,434.5142222,13.61297961,45
15,2818,942.8222162,1009.471838,11.49283343,185
16,2979,1306.183495,470.9664078,13.11903626,103
17,3139,470.0750685,277.7532877,11.39638067,73
18,3153,733.9131034,1633.537931,13.52472182,58
19,3928,1734.875275,1352.481868,19.02466565,182
20,4038,1794.085366,1973.421951,16.60309449,82
21,4584,615.6812658,1690.258228,14.44237951,79
22,4852,85.524325,123.852,10.3615315,40
23,4897,608.8667647,1162.32549,10.68120034,102
24,5133,587.0694708,1429.710864,25.94939485,359
25,5139,724.2455217,948.4757826,19.55351454,230
26,5249,811.0817431,879.072844,11.98293877,109
27,5534,937.4782222,1887.711111,10.65860059,90
28,6187,1647.152012,191.3447678,35.2263721,323
29,6321,1393.291986,90.34152962,16.82485994,287
30,6536,1475.366667,880.3867347,19.60970447,147
31,6571,1983.545313,1764.923438,8.562240108,64
32,6624,1501.907914,494.9344604,17.72414183,139
33,6694,263.4973109,716.6985714,19.83378181,119
34,6759,410.4148691,1303.64712,20.69435686,191
35,7043,873.550087,1207.993043,10.83694811,115
36,7219,1027.096774,164.7880645,13.2496416,31
37,7468,1566.60381,734.434381,16.00778968,105
38,7494,544.8315584,480.0850649,13.70713102,77
39,7685,1922.069886,1559.951705,15.90512485,176
40,7718,152.1595978,797.9675111,30.23916858,450
41,7951,327.6810484,17.23620161,11.92280401,248
42,8106,39.84878,1478.134,17.10507829,200
43,8358,1917.962069,311.6917241,10.69233948,29
44,8470,1725.90365,504.7809489,11.79555009,137
45,8509,290.6915054,1148.985484,25.30688293,186
46,8825,199.724927,1984.098175,15.15478277,274
47,8932,1838.566667,1434.340278,17.03776945,72
