x	y	sd
1150.6	506.21	14.029
1963.1	126.74	16.437
1898	152.82	21.967
59.885	1779.5	15.725
35.686	1763.8	25.297
90.295	1797.8	19.475
54.82	1751.3	22.621
1988.9	411.72	10.063
325.03	18.799	7.882
336.66	18.77	5.667
337.35	38.748	8.393
1441.7	712.08	15.373
1453.6	702.67	10.762
1444.4	735.38	11.455
1469	715.03	11.199
1466.8	694.91	11.328
1676.9	299.97	7.867
1667.9	299.09	5.163
1687.1	284.54	4.878
1695.5	310.63	5.128
1411	1900.8	20.238
1687.2	293.84	4.731
1471.7	1843	16.596
1702.3	280.06	5.006
1425.9	1848.4	19.378
1670.6	289.11	5.126
1362.1	1747.6	21.718
1667.6	297.43	4.636
1672.8	301.98	4.554
1670.6	293.51	4.536
1675.5	277.32	10.701
1325.7	999.97	3.434
320.08	713.11	13.493
320.92	705.09	15.186
323.85	695.72	14.427
279.02	715.3	15.402
366.48	647.12	24.777
489.82	1014.7	21.057
464.31	1079.4	5.538
478.26	1074.6	12.706
372.53	791.46	16.332
238	737.67	20.291
339.91	803.92	16.89
932.43	1912.8	15.747
915.51	1945.4	23.106
969.25	1933	24.245
979.12	664.52	12.581
939.59	1875.1	23.519
997.71	694.8	5.872
238.53	496.21	19.696
992.9	688.69	5.746
993.73	686.68	5.541
998.41	691.57	5.804
989.56	696.97	6.462
217.94	1213.9	24.589
1995	403.55	9.996
222.76	1250.6	17.151
1981.9	432.4	11.236
1993.6	426.75	9.822
1974.9	438.95	10.654
1977.4	423.88	11.181
1998.6	406.85	10.594
1934	421.51	11.262
1983.7	391.76	11.836
1940.7	457.62	11.388
1968	403.02	26.522
824.32	814.29	18.643
320.92	998.05	18.29
473.81	1425	17.608
1949.4	1337.5	27.896
1410.4	53.668	22.149
485.24	566.84	6.913
477.97	531.73	5.086
468.49	557.09	3.681
473.87	554.5	3.697
483.67	560.13	3.571
477.28	563.68	7.995
1431.2	1.699	22.395
640.14	18.482	22.038
483.23	117.75	27.814
1940.8	845.61	10.478
598.28	516.01	3.454
1880.2	806.99	12.08
607.83	507.69	3.814
1892.5	789.42	17.86
606.05	521.83	3.952
595.89	501.23	4.048
608.59	503.37	4.015
361.79	225.03	24.387
292.21	53.545	13.358
1279.8	409.7	25.895
1280.6	436.47	12.814
1264.3	465.18	11.59
1269	474.03	11.629
1280.4	488.91	12.285
1294.2	1500.9	19.089
1287.6	494.17	25.09
1291.3	1457.9	10.369
605.1	482.89	17.96
1303.7	1477.1	10.351
610.12	512.93	3.847
1325.1	1480.4	10.342
611.18	511.32	3.523
1321.6	1471.7	12.777
604.52	504.28	3.609
1313	1478.7	8.914
601.71	512.69	3.6
1296.2	1451.2	12.534
603.62	504.68	3.564
598.1	510.97	4.388
860.86	311.82	20.934
940.38	337.68	3.731
523.44	1972.4	14.934
948.6	341.86	3.671
496.35	1962.9	8.117
948.79	346.47	3.878
502.51	1938.4	8.907
958.55	346.3	4.573
495.8	1969.5	8.951
482.68	1941.9	9.222
711.51	1715.7	14.739
948.47	342.61	3.867
950.97	341.85	4.065
941.58	346.96	3.802
942.59	345.96	3.582
950.96	311.46	12.978
1984.8	415.22	9.991
1965	446.33	10.207
244.43	621.15	18.891
1986.5	409.74	10.812
592.59	130	17.335
1955.8	431.34	11.361
621.65	135.79	10.313
625.99	132.82	12.621
580.96	152.28	12.951
984.18	799.85	14.745
940.58	502.36	11.694
1146.5	975.84	8.531
1981.7	429.32	12.126
1074.6	636.43	7.699
1967.9	420.77	11.323
1098.5	540.38	12.579
1982.2	412.73	11.352
603.29	135.41	13.271
1990.4	415.38	12.191
620.29	139.57	12.24
644.75	128.17	13.574
618.83	135.34	11.45
1066.9	1964.9	20.432
602.69	128.8	15.927
1401.2	1084.7	10.125
1350.3	1069.1	10.743
1399.7	1097.1	11.511
1385.9	1067	10.521
1374.8	1090.6	15.173
420.31	1714.6	25.133
136.38	482.2	21.094
168.9	542.92	20.237
1016.4	814.08	12.484
992.62	830.56	11.018
983.28	806.29	9.209
428.34	1361	21.861
964.23	815.75	11.46
490.18	1428.7	11.62
962.55	813.66	10.424
482.61	1449.7	10.681
991.68	809.01	9.95
500.63	1434.6	9.647
978.92	820.29	9.833
476.78	1420.1	9.983
493.33	1437.9	12.277
1270	983.64	26.258
