x	y	sd
1622	1154.8	28.714
608.9	1705.1	9.018
1581.9	1139.9	24.065
1686.5	1057.2	28.295
1979.8	1770	8.33
599.97	1183.5	5.608
604.99	1181.7	5.326
616.07	1169.8	5.362
598.4	1185.7	6.051
593.15	1182	5.62
589.19	1170.2	6.009
600.21	1182.3	5.757
595.23	1167.5	6.116
252.16	1186.2	21.789
214.66	971.49	26.544
716.31	1660.2	12.362
733.08	1667	11.516
497.92	1580.1	12.963
585.46	1613.2	11.317
332.33	1554.5	13.938
230.64	1536.1	12.608
201.17	1505.9	12.463
191.06	1571.1	11.734
207.62	1547.3	13.824
248.92	1531.3	15.623
1175.2	1475.1	19.965
180.78	1983.1	8.393
373.76	1176.5	6.537
1717.7	1897.5	7.856
329.59	1505.6	24.745
1718.6	1908.6	6.229
343.07	1474.6	17.483
737.1	1389.5	20.615
1726.2	1891.2	8.84
322.11	1452.5	18.568
240.75	1534.8	12.282
368.01	1543.8	21.406
1979.8	1238.3	24.495
226.03	1503.1	14.415
247.4	1534.6	13.687
265.53	1540.7	12.602
212.23	1503.4	14.041
230.94	1508.7	11.985
268.35	1534.9	11.927
1833.2	1858.7	19.759
218.71	1544.7	12.37
1880.6	1799.2	10.145
213.86	1526.3	12.581
1891.9	1844.8	15.905
371.33	1337.3	14.52
1828.5	1681.9	10.715
315.8	1447.2	15.572
1863.5	1662.8	7.687
256.05	1536	16.388
265.34	1496.6	11.038
266.14	1552.2	12.695
255.84	1544.7	13.457
279.41	1509.5	14.305
226.39	1528.5	12.025
224.02	1553.6	13.768
202.72	1507.9	16.049
240.33	1481.1	14.311
212.06	1526	12.451
261.06	1515.7	12.664
238.25	1532.9	12.742
240.79	1520.2	11.745
1956.9	1917	26.673
1993	1944.5	15.905
194.94	461.74	29.715
1972.2	1954.7	21.411
561.85	919.99	11.496
553.4	888.57	11.862
1007.9	1953.4	20.549
977.69	1938.7	11.984
629.82	190.63	18.304
558.65	220	18.192
856.67	1185.3	7.883
620.56	150.02	18.55
584.66	214.23	14.782
620.1	195.89	15.363
610.11	164.49	19.228
1371.8	1898.8	14.288
209.03	1511.2	15.39
1412.6	1854.4	8.675
239.34	1508.5	14.76
1398.2	1860.6	7.891
222.65	1495.8	11.897
1422.9	1852.5	8.342
1419.1	1855.1	9.413
1374.7	1822.5	21.834
90.313	1560.1	10.735
75.605	1561.7	11.582
65.456	1546.6	11.61
65.882	1660.8	6.656
83.154	1647.1	7.104
99.248	1568.7	11.363
119.78	1550.4	10.059
116.8	1578.7	10.896
1881.8	1637.5	12.357
1852.5	1647.9	7.273
1857.4	1650.5	8.023
1855.5	1636.1	7.315
1833.9	1652.4	6.475
1040.7	1727	21.987
1776.8	1681.5	24.027
1090.4	1596.6	20.652
1168.2	770.91	14.053
1348.9	835.76	10.777
1031.3	1562.3	21.995
1178.6	802.29	14.61
1036.5	1638.2	21.111
1181	797.2	12.565
1061.1	1654.1	18.319
585.1	919.26	19.584
520.75	927.76	8.624
525.82	920.42	8.865
545.3	915.48	9.641
486.22	944.55	17.35
1775.4	1594.2	16.661
1764.9	1616	16.029
773.74	808.86	23.127
1709.3	1562.6	17.78
785.6	790.48	20.099
1768.4	1636.6	17.123
753.08	844.02	21.902
1774.5	1585.5	16.058
768.7	795.49	18.843
1798	1600.6	26.269
725.09	851.82	22.91
395.29	1147.3	6.846
409.71	1131.1	5.944
706.5	879.21	11.061
