x	y	sd
304.83	802.75	23.845
1526.3	1981.1	20.919
261.18	709.06	13.605
1619.2	1967.2	19.598
1527.8	1958.8	15.413
1548.6	1924.3	16.638
1511.1	1916	22.05
1018.4	873.21	8.809
1391.6	1975.8	20.977
1023	1693	15.284
1569	1944.1	17.961
1562.2	1978.8	17.105
1358	1814.9	31.158
1034	1667.3	17.173
996.55	1660.7	17.483
1327.4	1841.1	27.005
1377.3	1108.8	8.298
1499.5	1907.2	16.007
1398.4	1106.7	15.867
1402	1889.6	25.915
1451.7	1810.7	27.149
1153	1676.8	21.798
1029.7	1654.3	18.051
1914.6	1423.4	20.931
1542.5	1916.7	10.004
1552.1	1951.4	14.314
1611.3	1834.6	26.418
1629.4	1663.9	30.014
1556.4	1925.9	12.985
1617	1815.2	20.146
1757.8	1260	17.271
1583.7	1907.1	13.58
1543.9	1917.5	14.085
1555.5	1925.9	14.418
1576.8	1908.3	13.901
831.03	1961.2	18.268
1546.5	1951.5	15.872
835.79	1926.7	8.297
859.41	1927.2	8.552
639.87	386.47	8.691
1551.9	1928.6	16.344
1542	1929.3	17.405
1526.4	1936.6	14.812
1544.3	1980.7	19.172
1603.6	1974.8	16.397
1561.2	1945.2	16.394
1524.3	1956.6	18.448
1570	1938.3	18.073
1533.9	1910.6	14.894
1554.5	1943.3	16.886
1576.1	1895.5	14.223
1568.2	1911.2	13.906
1520.6	1936.7	12.453
1560	1975.4	15.386
1574.9	1917.4	14.971
1501.1	1898.1	20.801
1534.3	1943.2	17.602
1557.7	1992.9	16.541
1526.8	1925.4	14.538
1509.1	1906.9	15.875
1546.8	1926.4	17.859
1552.5	1938.3	16.988
1675.5	535.43	13.446
1739.4	542.65	11.31
1427.1	129.09	10.848
1551.8	1975.5	12.069
1541.6	1885.4	18.682
1570	1950.3	20.932
1549.4	1934.9	17.277
1529.5	1974.7	15.378
1558.7	1896.1	14.737
156.39	1337.7	10.338
1571.6	1911.2	13.984
143.87	1355	4.911
1548.3	1957.5	18.793
149.7	1354.8	5.65
1565	1983.9	15.863
144.96	1359.3	4.183
139.76	1350.3	4.615
1559.6	1884.4	12.583
1531	1947.4	20.262
1504.9	1868.5	5.209
1496.9	1852.7	3.886
1501.7	1860.7	3.991
1482.4	1851.8	3.785
1495	1847.7	3.805
1565.6	1899.7	17.044
1509.4	1916.9	19.115
1554.2	1977.6	19.665
1556.7	1937	20.259
1935.7	1329.6	14.651
1960.2	1331.2	9.6
1985	1329.8	9.049
1975.6	1332.3	8.846
1548.8	1925.3	17.17
1573.2	1907.1	17.075
1473.5	1924.4	20.684
1607.6	1955.9	29.656
1538.8	1953.3	17.28
1588	1998.2	16.193
1571.2	1972.9	19.55
1605.1	1964.9	22.024
1617.4	1932.8	19.087
1596.4	1967.2	18.806
1503.4	1991.9	18.411
1535.8	1940.6	15.565
1547	1897.7	16.302
1614.4	1942.6	21.022
383.57	436.12	25.444
1584.9	1902.2	23.75
1616.7	1905.4	20.776
1562.5	1951	17.836
952.65	9.707	11.314
1586.5	1950.5	17.551
1488.4	1907.3	15.887
1450.9	1869.2	13.879
1546.3	1917.5	22.388
1787.5	1786.7	17.854
1657.3	1866.2	19.671
189.24	951.38	21.193
1562.3	1947.2	18.552
1555	1895.3	19.908
1588.8	1961.6	16.517
1546.7	1940.8	19.111
1524.4	1945.6	20.752
1554.8	1937.4	25.396
1532.5	1884.3	19.059
1563.2	1924.3	19.99
255.61	747.83	29.043
1519.3	1918.7	14.925
1309.1	672.41	11.319
1523.3	1890.3	19.228
1296.4	704.69	7.193
1525.2	1916.2	16.738
1296.4	722	8.179
1513.6	1963.4	19.106
1293.2	705.22	6.783
1512.2	1872.4	22.015
1283.8	715.97	8.162
1540.9	1954.4	18.487
1317.8	716.18	11.215
1531	1929.4	19.331
1565.3	1947.9	20.82
1519.3	1906.1	18.925
1617.6	1976.4	17.012
1618.4	1969.7	10.26
1444.7	93.99	6.206
1613.1	1969.8	10.648
1438	99.9	6.502
1643.6	1975.7	9.934
385.78	1521	23.261
1568.6	1815.2	22.992
1539	1938.7	16.408
1537.6	1962.9	22.832
95.989	1117.9	19.644
1539.1	1945.2	17.702
47.972	1175.3	28.342
1506.7	1941.1	19.158
438.48	1364.4	19.562
1548.8	1907.7	20.8
419.44	1275.6	17.78
425.34	1323	19.063
1548.2	1947.9	17.811
452.07	1338.6	21.504
1525.4	1964.5	20.595
1547.7	1915.9	17.703
1570.5	1894	15.234
412.45	1339.5	16.933
1564.2	1973.8	18.144
414.89	1346.1	20.181
1373.3	692.18	13.012
1557.9	1962	18.519
448.19	1328.1	20.976
1399.1	685.97	18.13
1820.3	1647.3	15.596
1407.6	691.8	15.148
1701.4	1761	17.26
1707.9	1749.4	19.757
844.91	1916.5	9.807
1405.7	703.78	14.478
1567.2	1922.9	18.825
852.46	1911.6	7.804
