,,locationx,locationy,220,
1,220,163.9403636,874.2881818,11.42725689,55
2,370,947.2307692,335.9948718,7.866508475,39
3,753,1253.212069,1128.951724,14.30547781,58
4,755,1833.77931,1910.593966,20.29655422,116
5,808,304.6694444,776.6175,11.42575774,36
6,1535,1941.028571,411.7914286,7.278249888,7
7,1664,722.0136029,493.1422794,15.84969549,136
8,1684,1459.168712,1822.215337,23.94442698,163
9,1876,1924.916667,1776.52,10.3029694,30
10,2074,62.65481081,53.55025676,20.91680824,148
11,2273,1147.104082,962.6560204,13.08962361,98
12,2368,1673.028947,299.8673684,9.454761539,76
13,2479,1021.599039,1301.330349,30.48738823,458
14,2512,285.5440909,973.7157273,14.16348231,110
15,2547,433.9407477,902.2551402,7.498411632,107
16,2650,607.0808989,162.5481273,22.03037212,267
17,3031,483.6962162,1439.251351,14.17534001,37
18,3114,1392.501887,1072.044654,16.3833344,159
19,3366,1739.098795,575.0181325,8.390319721,166
20,3892,994.4030375,763.5602389,19.22305416,293
21,3955,703.3,697.3804762,8.260691521,21
22,3971,441.1867021,1911.189362,13.45770793,94
23,3999,1464.617647,699.5094118,8.981787998,17
24,4138,1171.668462,463.9686923,14.97603597,130
25,4248,1348.1744,1726.9656,24.12236687,125
26,4619,1530.857143,1133,11.92982009,28
27,4978,1185.115574,80.56927869,15.23678713,122
28,5000,657.8991139,1055.212658,8.321391639,79
29,5065,223.4252727,1557.286364,10.9818681,110
30,5078,1946.835714,161.8064286,8.579078323,14
31,5290,449.6012778,1131.123889,20.20355342,180
32,5561,364.2321256,200.9558454,18.88449284,207
33,6278,92.44587209,1769.615116,18.18018708,86
34,6743,1463.511765,928.0873529,16.00503958,34
35,6972,739.1657009,51.543,8.12467567,107
36,7025,1320.843103,1456.346983,15.31213075,232
37,7033,1426.502013,25.66926846,26.06964048,149
38,7057,1897.726786,373.5919643,20.35581109,112
39,7113,933.6182857,1616.745714,11.68943025,35
40,7187,875.84625,1913.905,18.88078561,40
41,7246,1677.886395,1757.029252,16.90774697,147
42,7311,483.7011667,556.0440417,10.40573882,240
43,7473,1752.53,1373.677,12.14233043,100
44,7567,818.82,809.006,8.233965127,10
45,7674,242.6888636,1250.679545,19.1890116,88
46,7717,571.1180769,939.3980769,7.925102694,52
47,7810,428.24775,307.0531667,21.9903388,120
48,7845,768.6372642,1917.663208,11.84518212,106
